mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_delta_mean_0,mfcc_delta_mean_1,mfcc_delta_mean_2,mfcc_delta_mean_3,mfcc_delta_mean_4,mfcc_delta_mean_5,mfcc_delta_mean_6,mfcc_delta_mean_7,mfcc_delta_mean_8,mfcc_delta_mean_9,mfcc_delta_mean_10,mfcc_delta_mean_11,mfcc_delta_mean_12,mfcc_delta_std_0,mfcc_delta_std_1,mfcc_delta_std_2,mfcc_delta_std_3,mfcc_delta_std_4,mfcc_delta_std_5,mfcc_delta_std_6,mfcc_delta_std_7,mfcc_delta_std_8,mfcc_delta_std_9,mfcc_delta_std_10,mfcc_delta_std_11,mfcc_delta_std_12,label
-309.27917,87.75072,14.743069,12.306196,0.4318635,6.711801,6.186331,4.646614,-2.4531164,0.0017808676,-1.713048,4.1020966,-2.0336578,88.039,41.31894,17.872194,10.556352,15.32981,13.076003,6.0071387,11.208379,14.02139,7.992186,6.629514,6.9915,8.346006,3.330039,1.618716,-0.64884794,-0.12385108,-0.34362733,-0.06922166,-0.30814362,-0.6406679,-0.42317116,-0.13255405,-0.056647025,-0.16450402,-0.44425747,21.457436,9.358157,3.4520843,2.1280165,3.4231489,3.1273434,0.75588906,2.9856071,3.4558814,1.5138559,1.379548,1.524571,1.8877722,dol
-297.07916,81.71519,6.470671,11.283834,-5.307784,6.7407355,9.69921,2.1227179,-2.0049868,0.97966516,-3.9735684,6.6364627,-6.286479,102.84341,31.298883,12.876561,10.107916,16.440357,15.768653,8.342263,14.957855,15.329719,6.9665914,9.351308,8.784714,11.051215,3.5673857,0.9841369,-0.6720853,-0.30135268,-0.14067984,-0.06840873,-0.10306099,-0.7351515,-0.29905787,-0.08847886,-0.19662003,-0.0069361627,-0.4395647,24.346594,6.7441573,3.325855,2.016293,3.3236365,3.937781,1.6438057,3.9488373,3.7929733,1.3348927,1.9913871,2.00017,2.6105034,dol
-298.27856,88.56163,11.316937,12.609184,-2.1550298,5.4837227,8.358721,1.2488796,-3.062074,-0.124141335,-5.4836664,5.055023,-6.048455,106.56413,35.56244,16.081764,14.332205,15.277189,13.114561,6.9721494,15.9651,14.433889,6.397415,7.8220377,10.134606,12.69272,3.7514768,0.8809041,-0.50101966,-0.018019035,-0.29704356,0.078998186,0.029198036,-0.39835173,-0.29250184,-0.16244005,-0.25213748,0.034220338,-0.24062796,24.523312,7.5795937,3.500558,3.513407,3.3801477,2.9397798,1.4139117,3.8674264,3.5485892,1.2677416,1.6510243,2.410681,2.8460455,dol
-291.00748,84.70457,23.627188,17.788946,2.6212249,5.702047,1.3414483,8.726805,2.8200412,0.90954924,0.0927331,4.280516,-4.795842,103.01812,43.30399,13.143616,10.825484,14.948795,14.391101,6.1771092,12.778659,9.19861,13.679686,7.9755044,6.6917925,7.9645996,1.3986604,-0.35966626,-0.1078572,-0.13895693,-0.14938763,-0.17313817,-0.18941349,-0.03649132,-0.35800314,0.0313224,0.0799619,0.013892397,0.005135875,20.890612,8.341047,2.6483533,1.888875,3.4262564,3.4879532,1.3098897,3.0503623,1.7472432,3.0872626,1.8073645,1.1396368,1.7214192,dol
-310.2657,85.61496,10.956196,15.896313,-1.2204275,6.1859193,7.132578,1.1221408,-3.5783722,0.19016851,-3.659493,4.946666,-5.7012615,97.888695,36.339397,16.801065,11.834578,14.298261,12.943475,6.3102455,15.492662,11.5230255,8.654487,10.390295,8.702316,10.018188,1.616886,0.64072275,0.16583723,0.44241673,-0.18145123,-0.022664577,0.104379416,-0.41233373,-0.067,-0.33126432,-0.22483137,-0.10993703,-0.21647468,20.750433,7.3090906,4.2439756,2.909292,3.0662293,3.1584263,1.0794736,3.6281776,2.6029751,1.8045377,2.1994877,2.0468924,1.9674563,dol
-310.3258,85.08043,14.9637165,12.716121,-2.4237506,8.981586,5.7394185,5.8877883,-4.731028,0.071704865,-6.3368716,2.5033102,-4.3845353,90.60952,39.763485,16.681656,14.885469,17.074154,12.283275,5.117534,12.246395,11.842097,6.9059353,7.950361,8.267145,10.652876,-0.43935966,0.96978045,0.1110255,0.7462175,0.39397547,-0.16998382,-0.053637557,-0.5570363,-0.036291778,-0.028344445,-0.0005747657,-0.079178974,-0.17023124,18.55722,7.878856,3.7875395,3.9005573,4.0595474,2.812789,0.73618215,2.818378,2.7001333,1.294898,1.5407948,1.829823,2.1252508,dol
-306.89554,84.03148,7.0233665,10.532965,-2.073969,10.312995,8.793694,2.116485,-3.6589055,-0.99362946,-4.1834135,7.5329337,-7.1567984,96.03211,38.93972,10.056992,13.933781,14.010534,12.345965,5.4775405,11.738301,12.634056,10.758607,11.120962,8.146419,10.173663,-0.044714928,0.36150634,0.08710288,0.28021097,-0.08072735,0.060594976,0.0792426,0.064431205,0.17749542,0.07587463,-0.1522702,-0.21291742,-0.2610694,18.280878,7.6827083,1.2153511,3.2073388,3.1002152,3.0492392,0.8150278,2.175016,2.6475222,2.2033074,2.5093927,0.96588176,2.0167415,dol
-314.98148,89.294586,13.684265,12.207102,-1.2798375,9.030541,5.4139442,3.9255662,-2.5189335,2.7285423,-0.7219122,3.978635,-4.746939,85.30527,42.331966,15.95036,10.913775,15.764341,14.685431,6.038995,11.029841,10.8716345,9.057031,7.210439,6.5402813,7.161903,2.7599926,0.9185026,-0.8614172,-0.17154759,-0.36642274,0.20749815,-0.3814367,-0.6087644,-0.32020038,-0.10762173,0.027799167,0.19010784,-0.18414977,20.564028,9.502876,2.6632185,2.357909,3.481274,3.4914668,0.88703686,2.7223587,2.7851527,1.8328618,1.3522245,1.4722798,1.5819455,dol
-317.6815,89.15844,14.672192,17.912283,0.012142241,5.333452,4.441906,5.578242,-1.1247125,0.29409903,-1.5415754,4.841654,-5.826425,88.63995,43.182796,16.530746,10.88432,12.822729,12.52619,3.9874728,11.55083,9.219632,7.7305427,7.4702334,8.867667,11.136917,3.2906003,0.8028736,-0.72028697,-0.30384973,-0.21130411,-0.030133113,-0.27993792,-0.7310811,-0.5525416,-0.3341474,-0.14270978,0.064174175,-0.17964235,21.910313,9.257409,3.3412726,2.1056757,2.926434,2.7800465,0.53738,3.120179,2.3662424,1.6494479,1.5973904,1.794904,2.2697933,dol
-308.6529,95.31639,15.752169,12.415403,-2.9979486,5.563265,5.360283,6.5479965,-1.7566098,-1.7841171,-0.35484964,4.070654,-5.8073573,89.39538,45.77533,15.435831,13.958626,15.117812,17.043129,6.7777004,8.566038,9.920899,9.770839,7.437954,9.126818,11.504643,2.3536143,0.14825687,0.013316661,0.41477567,0.0065966174,-0.021610096,-0.4575163,-0.2499162,0.18150465,-0.07966937,-0.13115686,-0.18572143,-0.42298847,20.242163,8.825383,3.1225553,3.4820974,3.2261205,3.7661788,1.434973,2.2029812,2.1283188,1.8761898,1.4436076,1.5707089,2.5204482,dol
-301.67682,91.58554,14.518183,15.289911,-2.076689,5.5804086,2.191793,4.944188,0.23900235,0.06695652,-2.7295284,2.9310954,-6.588375,83.52123,49.568184,17.337328,12.453425,14.191332,15.587356,5.5688,10.113498,7.9644265,9.2038355,8.129124,8.1967125,9.437126,0.29760665,0.89663136,-0.3202421,0.4891097,0.3208937,-0.4759614,-0.32614583,0.026658703,0.2392197,0.010023691,-0.30590257,-0.32207078,0.18573163,17.312569,10.196815,3.5790634,3.2768414,3.3234553,3.3132088,1.0912818,2.2057924,1.8012447,1.7928675,1.7644484,1.6901155,1.6507186,dol
-317.28046,90.8867,15.841162,12.890091,-2.3925183,7.678484,5.8219175,6.581133,-1.0282651,0.8844373,-1.3769506,2.8652487,-4.004248,77.42278,42.83932,16.615734,12.711032,12.573421,14.583761,8.099295,8.944112,9.855937,8.124561,8.860555,6.665297,10.112939,1.1378065,0.47461468,0.15686736,0.40604657,0.19575568,-0.27238312,-0.46418783,-0.27348858,0.3260322,0.30561402,-0.27783352,-0.315818,-0.24271554,16.229797,8.734409,3.6576893,3.2254403,2.6423037,3.415872,1.6451968,1.8197436,2.1157126,1.43033,1.9217843,1.4223912,2.079087,dol
-316.33752,93.00899,17.794964,14.596565,0.57045126,4.170452,4.343762,6.3540893,-1.0707132,1.0522776,-3.3910856,3.62507,-3.5242572,83.369774,47.066895,14.402673,13.7025585,12.776763,15.589406,5.797937,9.043251,9.622505,8.12806,8.272745,6.380546,9.44101,2.4348812,0.92862225,-0.15739234,0.18448234,-0.12323092,0.2469219,0.10579164,-0.33330637,0.029194452,-0.0037133768,-0.09035088,0.0030169785,0.04849124,18.66872,9.894979,3.2475326,3.2138815,2.786277,3.6856933,1.3213909,1.9422654,2.0888684,1.5939797,1.7637258,1.4112868,1.8631457,dol
